,Unnamed: 0,channel_id,channel_title_name,totalchannel_views_count,total_subscriber_count,total_video_count,playlist_id,playlist_name,video_id,title_name,liveBroadcastContent,total_views_count,publishing_date,likeCount,favoriteCount,commentCount
0,0.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOpOqMOlX3GvQFUNsIagOoeW,PSITCHE,XJiiWfNQgaI,INTERNATIONAL CONFERENCE ON INDIA A $5 TRILLION ECONOMY: CHALLENGES AND GATEWAYS.,none,88,2023-12-15T06:05:58Z,5,0,total_comment_count
1,1.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOqXxfmOU-oyZbPJWlR8EQhf,Waves,aBJovPbH9ds,WAVES 2015-PSIT Breathtaking Performances,none,1685,2015-09-18T11:44:28Z,15,0,total_comment_count
2,1.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOqXxfmOU-oyZbPJWlR8EQhf,Waves,rHDEpGyrNxQ,WAVES 2015-PSIT Breathtaking Performances-PSIT Kanpur,none,6409,2016-01-15T11:15:11Z,58,0,total_comment_count
3,1.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOqXxfmOU-oyZbPJWlR8EQhf,Waves,Yh_jG4wOLyM,Waves 2k23 Teaser: Psit Kanpur,none,49165,2023-11-07T05:12:11Z,17,0,total_comment_count
4,1.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOqXxfmOU-oyZbPJWlR8EQhf,Waves,7sHIvgw4YhU,Waves Fresher's Party 2K23,none,2746,2023-11-08T13:37:52Z,84,0,total_comment_count
5,2.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOpp3Ekr3XdDXzv0kX3OR988,Research and Innovation,-HByxBKE_xw,Let's celebrate Aditya Kumar Sharma's remarkable trajectory of research,none,437,2023-06-16T11:27:10Z,21,0,total_comment_count
6,2.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOpp3Ekr3XdDXzv0kX3OR988,Research and Innovation,XJiiWfNQgaI,INTERNATIONAL CONFERENCE ON INDIA A $5 TRILLION ECONOMY: CHALLENGES AND GATEWAYS.,none,88,2023-12-15T06:05:58Z,5,0,total_comment_count
7,3.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOrGT6KiDBnzEj5uGzYy5yN-,"Duo-logue, In conversation with PSIT.",ChLI_UrYCkQ,"Episode 1 of Duo-logue, In conversation with PSIT. Ms Swathi Sushilan, Uipath",none,193,2023-05-13T11:34:43Z,3,0,total_comment_count
8,3.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOrGT6KiDBnzEj5uGzYy5yN-,"Duo-logue, In conversation with PSIT.",b6XbHr9YTUc,"🎙️  Join us for DUOLOGUE with Aniruddha Srivastava, a PSIT Alumnus, VP in Goldman Sachs.",none,244,2023-06-10T10:22:49Z,9,0,total_comment_count
9,3.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOrGT6KiDBnzEj5uGzYy5yN-,"Duo-logue, In conversation with PSIT.",u0-L3GCkzro,"DUOLOGUE, Episode 3 with Gitesh Tripathi who got placed at Leaders-Tech with a package of 48.8 lacs.",none,575,2023-06-17T11:18:14Z,9,0,total_comment_count
10,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,Uus_sSeuyCA,"Let's hear from our alumna , Gurneet Bhatia Agarwal.#psitkanpur",none,439,2023-04-22T06:40:38Z,13,0,total_comment_count
11,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,jVoVlR3Cz74,Know your Alumni  #psitkanpur,none,18687,2023-04-25T09:27:14Z,33,0,total_comment_count
12,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,bq5KkNS4jD0,Let's hear from Rashmi Yadav #PsitAlumni #PsitKanpur,none,323,2023-05-03T08:21:05Z,11,0,total_comment_count
13,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,op8NU_6bGI4,"The incredible journey of our talented alumna, Harshita Bajpai.",none,498,2023-05-12T09:10:33Z,14,0,total_comment_count
14,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,ZzIa8YLpiQo,"Prepare to be mesmerized by  resilience, and unyielding spirit of our alumna Harshita Sharma!",none,280,2023-05-24T11:06:26Z,7,0,total_comment_count
15,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,bTKYGHMxasY,PSIT Kanpur,none,1682,2023-06-29T09:24:00Z,56,0,total_comment_count
16,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,XQxH-WVccFU,Alumna Aakriti Mishra's Visit to PSIT Kanpur,none,283,2023-10-28T07:41:30Z,11,0,total_comment_count
17,4.0,UC03XHJR0rh4t9MwwojbbiaA,PSIT Kanpur,3112345.0,8650.0,474.0,PLykDsmqqAtOq_KV5eYfja4MBFzy3QwZ0g,Psit Alumni,o70yJEPwdh0,"""A Community of Game-Changers: PSIT Alumni"" #shorts",none,805,2023-02-14T03:59:25Z,7,0,total_comment_count
18,,,,,,,PLykDsmqqAtOrWRybth-jJJ1nU6aENQAhQ,,TAnII4DW-ak,Incredible Internship opportunity at Stanley Morgan For Batch of 2024.#psitkanpur,none,904,2023-04-15T08:03:09Z,8,0,total_comment_count
19,,,,,,,PLykDsmqqAtOrWRybth-jJJ1nU6aENQAhQ,,wZ6MQtqkYag,Let their journey inspire you! Atlassian Internship of Rs 1.3 lakhs per month. #psitkanpur,none,43647,2023-04-01T06:23:46Z,26,0,total_comment_count
20,,,,,,,PLykDsmqqAtOrWRybth-jJJ1nU6aENQAhQ,,Fo-ZqWNlGrU,Why Sujay Patel chose PSIT Kanpur again? Let's hear it from Sujay himself.,none,739,2023-05-27T10:38:15Z,14,0,total_comment_count
21,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,X3v_ignWRFU,December Month Activity Summary PSIT Kanpur 2022,none,13114,2023-01-19T10:32:42Z,24,0,total_comment_count
22,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,jUvM0Ds_Mb8,JANUARY Month Activity Summary PSIT Kanpur 2023,none,11007,2023-02-07T09:11:39Z,39,0,total_comment_count
23,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,nWUUqiKR0QI,"February Month Activity Summary,2023 PSIT Kanpur",none,441,2023-03-20T04:57:01Z,9,0,total_comment_count
24,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,RlYnKjVZ4sw,MARCH Month Activity Summary 2023.#psitkanpur,none,297,2023-04-08T13:35:09Z,9,0,total_comment_count
25,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,hMvuTHaoAz8,Summary of the Month of April  #PsitKanpur,none,202,2023-05-06T06:38:48Z,7,0,total_comment_count
26,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,cIAcuTmB30Q,"📆 The month of May flew by, leaving behind a trail of amazing moments! Summary Of The Month Of May.",none,159,2023-06-03T09:30:42Z,7,0,total_comment_count
27,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,GrwFcb-3kyo,PSIT Kanpur-Summary of the month September-23,none,861,2023-10-07T10:34:41Z,25,0,total_comment_count
28,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,c3Zt_WQK8kM,Summary of the Month October 23,none,735,2023-11-04T14:43:18Z,27,0,total_comment_count
29,,,,,,,PLykDsmqqAtOqrk_aGgWwgyNfu4WObWhDF,,c13qNM_Vt3Q,Summary of the Month November 2023,none,91,2023-12-11T11:51:23Z,3,0,total_comment_count
30,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,MCsLlKMDG0g,Pranveer Singh Institute of Technology (PSIT) Kanpur #shorts #psitkanpur,none,1342,2022-11-17T05:46:40Z,92,0,total_comment_count
31,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,YE78WkMifBI,PSIT Kanpur #psitkanpur #shorts,none,6267,2022-06-28T10:52:47Z,102,0,total_comment_count
32,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,SlcfhRKm2ho,Pranveer Singh Institute of Technology (PSIT Kanpur) #shorts,none,69064,2022-11-17T09:01:33Z,180,0,total_comment_count
33,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,daMNkPz2q_w,PSIT Kanpur #shorts #psitkanpur,none,7990,2022-11-20T05:01:24Z,358,0,total_comment_count
34,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,Aa24qQD6Itw,PSIT Kanpur #shorts #psitkanpur,none,2383,2022-11-20T04:59:34Z,143,0,total_comment_count
35,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,m3gKoAFStzk,PSIT Kanpur #shorts #psitkanpur,none,1881,2022-11-20T04:56:08Z,49,0,total_comment_count
36,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,33xs61aVd74,"Triumphant faces yet again, PSITians repeat their success! #shorts #psitkanpur",none,26392,2022-12-14T10:16:29Z,149,0,total_comment_count
37,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,eys8ZhrsXXA,Another dhamaka placement drive...! #shorts #psitkanpur,none,694,2022-12-15T10:52:16Z,60,0,total_comment_count
38,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,UssnSDmb-2o,PSIT Kanpur #shorts #psitkanpur,none,815,2022-12-16T10:57:39Z,46,0,total_comment_count
39,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,xKuVjRICRYI,PSIT Kanpur #shorts #psitkanpur,none,64195,2022-12-26T09:32:11Z,134,0,total_comment_count
40,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,eHNWRVR1a5w,PSITians continue to shine on all the stages across the nation. We proudly celebrate their victory.,none,481,2023-01-17T06:20:53Z,31,0,total_comment_count
41,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,LrxZB07wr34,PSITians are the shining example of excellence. We are so proud of our achievers !,none,333,2023-01-17T08:25:22Z,9,0,total_comment_count
42,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,1-fvybKoBSA,PSITians dazzle with success. They are the true beacon of light for aspiring students.,none,1539,2023-01-18T05:22:02Z,29,0,total_comment_count
43,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,kcQ68NyInSg,Celebrity at PSIT Kanpur(Ignitia'23)  @harshitsaxenastudioz5277  #shorts  #short #ignitia23,none,4584,2023-02-17T10:56:00Z,201,0,total_comment_count
44,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,jJWd26GYqKs,Embrace the Techno Cultural Revolution with IGNITIA 2023! #IGNITIA23,none,5156,2023-02-16T10:52:00Z,34,0,total_comment_count
45,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,o70yJEPwdh0,"""A Community of Game-Changers: PSIT Alumni"" #shorts",none,805,2023-02-14T03:59:25Z,7,0,total_comment_count
46,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,svE7OSn-UaQ,Lagori at PSIT Ignitia'23!  @Lagoriofficial,none,9708,2023-02-18T16:43:52Z,53,0,total_comment_count
47,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,3tm465bBmWE,"Get ready to shine, Ignitia'23 is just in time! 3, 2, 1, let the fun begin! #shorts #viral",none,1141,2023-02-21T10:41:48Z,86,0,total_comment_count
48,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,vhrmT0jNdmY,Come and Join PSIT,none,79926,2020-06-01T08:41:11Z,19,0,total_comment_count
49,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,YU7rWjzpHt4,The wait is almost over! Ignitia'23 is just 48 hours away and the excitement is building up!,none,282,2023-02-22T10:55:53Z,21,0,total_comment_count
50,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,t8fu0uuVsao,The curtain is up!! The show has begun.. #PSITKanpur #PSITignitia23 #shorts,none,540,2023-02-24T08:57:26Z,18,0,total_comment_count
51,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,3pmGaGXP-fI,The stage is set! The drums are rolling!! Are you ready to rock with us? Stay tuned for more...,none,1386,2023-02-23T10:31:12Z,105,0,total_comment_count
52,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,Vy2uiBbldaY,IGNITIA 2k23_One day to go_PSIT annual Techno-cultural festival #psitkanpur,none,354,2023-02-23T08:33:50Z,26,0,total_comment_count
53,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,uwA06kFUxyY,Congratulations to PSITians for bagging a package of 10 lacs in Infoedge,none,931,2023-03-22T08:58:19Z,44,0,total_comment_count
54,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,nEgbVC_kGQo,"Psit Kanpur is all set  to organise an HR conclave , Yukti 1.0 on 8th April ,2023.#psitkanpur",none,445,2023-03-30T10:37:21Z,27,0,total_comment_count
55,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,AZDTaidF2p4,Psit Kanpur congratulates 250 Psitians for their selection in TCS.#psitplacements #TCS #psitkanpur,none,299,2023-04-03T06:31:09Z,16,0,total_comment_count
56,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,YVTyGUt6I9k,#OLA #psitkanpur  Raghav Awasthi bagged a job offer of 25.08 lacs at OLA.,none,301,2023-04-04T09:00:55Z,13,0,total_comment_count
57,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,xh7GAkItNgg,2 PSITians got selected at MRF. #psitplacements #psitkanpur,none,619,2023-04-05T06:14:34Z,23,0,total_comment_count
58,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,QRnARx5QtCQ,#psitplacement #psitkanpur 5 PSITians placed in Vastu Housing Finance Corporation.,none,521,2023-04-06T08:22:37Z,18,0,total_comment_count
59,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,cT3p_qt9bzI,"Karan Singh , an alumni of PSIT Kanpur shares his success story.#psitkanpur #psitalumni",none,5454,2023-04-07T09:27:28Z,295,0,total_comment_count
60,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,yzT_6j1alYE,"Let's hear from Gauri Chauhan, a medal holder from CSJMU.#goldmedal #bronzemedal",none,15654,2023-04-10T09:46:34Z,147,0,total_comment_count
61,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,g9IaLg_-lxI,Glimpses of HR Conclave held on 8th April 2023 at PSIT Kanpur.#psitkanpur #HRConclave  #yukti1.0,none,511,2023-04-12T10:18:04Z,28,0,total_comment_count
62,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,jVoVlR3Cz74,Know your Alumni  #psitkanpur,none,18687,2023-04-25T09:27:14Z,33,0,total_comment_count
63,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,uAoM_5nz_BU,"Witness captivating moments from the National Conference organized on 7th May at Town Hall ,PSIT.",none,1060,2023-05-10T08:45:34Z,97,0,total_comment_count
64,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,an7nRgu4fnA,"Relive the  moments from preliminary round of COMIENZO, the inter-college business plan competition!",none,7443,2023-05-15T10:32:27Z,189,0,total_comment_count
65,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,8P72ssdv8Qs,"Aniruddha Srivastava, a proud alumnus of PSIT Kanpur.#psitkanpur",none,1643,2023-05-16T08:32:42Z,82,0,total_comment_count
66,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,Dli2AkEjIhw,Hostel Mornings at PSIT Kanpur's lush green campus.,none,20457,2023-05-17T11:09:28Z,676,0,total_comment_count
67,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,YQgJI3Chzo4,"Check out Dalchini, the famous vending machine on our campus #PSITKanpur",none,6289,2023-05-19T11:32:51Z,199,0,total_comment_count
68,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,R2rYLZqXPlg,14 amazing students of PSIT Kanpur got placed at ADANI with a fabulous package of ₹6.5 lacs.,none,438,2023-05-25T09:28:43Z,32,0,total_comment_count
69,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,Dkr5wyJVkxE,Introducing  Winners @ COMIENZO! 💫,none,518,2023-05-30T11:16:34Z,21,0,total_comment_count
70,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,hDKYOdSkuKw,Step into the enchanting world of the Library of PSIT.,none,753,2023-05-31T11:07:54Z,28,0,total_comment_count
71,,,,,,,PLykDsmqqAtOr0dDi9estaSc4VVUEzCj7U,,ShSHM9JS964,The success story of PSITians continues. Best wishes from #PSITKanpur for your journey ahead.,none,405,2023-06-01T10:34:30Z,26,0,total_comment_count
